,index,Word,Count
1226,1594,womb,6
1227,3958,token,6
1228,3565,scurvy,6
1229,1784,motion,6
1230,2821,hare,6
1231,2822,lip,6
1232,4200,dew,6
1233,1337,heels,6
1234,3359,import,6
1235,3380,labour,6
1236,2832,troth,6
1237,2839,toad,6
1238,2729,de,6
1239,1717,wert,6
1240,1646,temper,6
1241,2876,private,6
1242,1362,shortly,6
1243,5724,uncle,6
1244,1746,advantage,6
1245,3470,crow,6
1246,2644,charged,6
1247,3211,goodness,6
1248,2908,suspicion,6
1249,2433,weeping,6
1250,3505,lack,6
1251,1766,charms,6
1252,2601,gracious,6
1253,3022,bearing,6
1254,1780,seeing,6
1255,3209,deadly,6
1256,4092,delight,6
1257,2429,stain,6
1258,2416,ten,6
1259,3825,cursed,6
1260,5654,excuse,6
1261,6648,exile,6
1262,1533,reverend,6
1263,1531,purposes,6
1264,3015,assured,6
1265,3110,thrust,6
1266,1659,slaughter,6
1267,2170,depart,6
1268,2168,charity,6
1269,1453,sides,6
1270,2992,leap,6
1271,2119,hollow,6
1272,2116,sleeps,6
1273,5863,capulets,6
1274,5855,thumb,6
1275,4336,ran,6
1276,4333,story,6
1277,2095,approach,6
1278,2995,wakes,6
1279,1527,gentlewoman,6
1280,3053,thief,6
1281,2043,win,6
1282,3941,piteous,6
1283,2041,beguiled,6
1284,3945,began,6
1285,3949,knife,6
1286,1948,stone,6
1287,2211,cries,6
1288,1947,tailor,6
1289,4032,city,6
1290,2414,double,6
1291,1585,drew,6
1292,5964,feast,6
1293,3687,awake,6
1294,6850,monument,6
1295,4390,hopes,6
1296,2017,quite,6
1297,3714,prick,6
1298,5777,wisely,6
1299,2967,joint,6
1300,4057,rhodes,6
1301,3733,wrought,6
1302,2307,knees,6
1303,1944,valour,6
1304,1413,egg,6
1305,2276,cried,6
1306,5916,envious,6
1307,1417,meat,6
1308,1555,devils,6
1309,1554,darkness,6
1310,1427,grown,6
1311,3128,lamentable,6
1312,4010,venetian,6
1313,4373,sighs,6
1314,2248,mere,6
1315,4368,prayer,6
1316,4198,bright,6
1317,1526,obedient,6
1318,3054,bind,6
1319,5068,shrift,6
1320,314,wide,6
1321,1076,villains,6
1322,1081,knaves,6
1323,587,sought,6
1324,591,strain,6
1325,1106,follows,6
1326,268,challenge,6
1327,1118,villanous,6
1328,1130,thinking,6
1329,5498,slow,6
1330,5515,committed,6
1331,1168,mischief,6
1332,1180,whence,6
1333,1051,treason,6
1334,1185,armed,6
1335,1187,meaning,6
1336,628,deeds,6
1337,1196,doing,6
1338,631,bids,6
1339,1206,fashion,6
1340,5528,wedding,6
1341,177,services,6
1342,166,whoreson,6
1343,1234,ruled,6
1344,137,undone,6
1345,646,offer,6
1346,340,profess,6
1347,5441,weeps,6
1348,1273,choose,6
1349,468,stirs,6
1350,531,folly,6
1351,4796,dance,6
1352,800,obedience,6
1353,504,betwixt,6
1354,4779,suspect,6
1355,830,condition,6
1356,490,turns,6
1357,4759,occasion,6
1358,845,authority,6
1359,772,queen,6
1360,541,empty,6
1361,901,top,6
1362,4712,finger,6
1363,5438,thither,6
1364,448,appetite,6
1365,5388,chaste,6
1366,5221,torture,6
1367,942,reads,6
1368,5220,slander,6
1369,965,enjoy,6
1370,5400,nightly,6
1371,402,husbands,6
1372,387,mend,6
1373,5415,retires,6
1374,4905,bride,6
1375,1038,finds,6
1376,1254,borrow,6
1377,287,health,6
1378,664,oath,6
1379,34,attendant,6
1380,49,messengers,6
1381,1295,eight,6
1382,75,division,6
1383,4036,circumstance,5
1384,1850,consort,5
1385,1905,bawd,5
1386,4845,sings,5
1387,6517,joyful,5
1388,2228,below,5
1389,2549,elements,5
1390,3314,colours,5
1391,1857,shown,5
1392,3316,aloud,5
1393,3319,weeds,5
1394,4557,shore,5
1395,6145,dreams,5
1396,5484,mask,5
1397,255,rule,5
1398,1853,waste,5
1399,4091,rouse,5
1400,2504,credit,5
1401,551,enemies,5
1402,4692,lo,5
1403,4093,streets,5
1404,961,waked,5
